path,classname
project_folder/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,calm
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,happy
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,sad
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,angry
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,fear
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,calm
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,happy
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,sad
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,angry
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,fear
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,disgust
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,surprise
project_folder/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,neutral
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,calm
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,happy
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,sad
project_folder/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,sad
